bibid,feature
1042808,"การถ่ายทอดเทคโนโลยีการเพิ่มมูลค่าเห็ดตระกูลนางรมด้วยการใช้ฟางข้าวเสริมแร่ธาตุซีลีเนียมTechnology transfer of value-added oyster mushrooms using selenium-fortified rice strawการถ่ายทอด,ฟางข้าว,เห็ดตระกูลนางรม,Technology transfer,rice straw,oyster mushrooms"
1032879,"ปัญญาประดิษฐ์สำหรับคัดกรองผู้ป่วยโรคซึมเศร้าและโรคทางจิตเวชอื่น ๆ ด้วยการวิเคราะห์คุณลักษณะเด่นของเสียงพูดจากชุดทดสอบทางจิตเวชภาษาไทยโรคซึมเศร้า,โรคทางจิตเวชอื่น ๆ,ปัญญาประดิษฐ์,การวิเคราะห์คุณลักษณะเด่นของเสียงพูด,แอปพลิเคชันบนมือถือ,Depression,Other Psychiatric Conditions,Artificial Intelligence,Speech Feature Analysis,Smartphone Application"
1031715,"โครงการการจัดการความรู้เพื่อการพึ่งตนเองในการเพาะเห็ดนางฟ้าของวิสาหกิจชุมชนโรงเรียนชาวนาเกษตรอินทรีย์บ้านเหล่าน้อย ตำบลค้อวัง อำเภอค้อวัง จังหวัดยโสธรเห็ดนางฟ้า,การพึ่งตนเอง,แนวคิดการพัฒนาเพื่อพึ่งตนเองของเกษตรกรอันเนื่องมาจากพระราชดำริ,หลักปรัชญาเศรษฐกิจพอเพียง,Oyster Mushroom,Self-reliance,Farmers self-reliance development concept,the philosophy of sufficiency economy."
1031717,"การจัดการความรู้ผลิตภัณฑ์อาหารทะเลแปรรูปของกลุ่มวิสาหกิจร้านคนจับปลาทะเลสาบชุมชนบ้านช่องฟืน ตำบลเกาะหมาก อำเภอปากพะยูน จังหวัดพัทลุง เพื่อการสร้างรายได้ สร้างงาน สร้างอาชีพตามแนวพระราชดำริคำสำคัญ,ผลิตภัณฑ์อาหารทะเลแปรรูป,บรรจุภัณฑ์,การตลาด,กลุ่มวิสาหกิจร้านคนจับปลาทะเลสาบ,การสร้างรายได้ สร้างงาน สร้างอาชีพ,บรรจุภัณฑ์,การตลาด,กลุ่มวิสาหกิจร้านคนจับปลาทะเลสาบ,การสร้างรายได้ สร้างงาน สร้างอาชีพ,แนวพระราชดำริผลิตภัณฑ์อาหารทะเลแปรรูป,Keyword,seafood processing products,packaging,market,Lake Fisherman Community Enterprise Group,making money,creating jobs,creating careers"
1031718,"การจัดการความรู้เพื่อยกระดับมาตรฐาน เพิ่มมูลค่า และเพิ่มช่องทางการตลาดผ่านระบบพาณิชย์อิเล็กทรอนิกส์ผลิตภัณฑ์ผ้าทอมือย้อมสีธรรมชาติของชุมชนผู้ไท จังหวัดยโสธรเทคโนโลยีผ้าทอมือ,สีย้อมธรรมชาติ,ผลิตภัณฑ์ผ้าทอมือ,พาณิชย์อิเล็กทรอนิกส์,การวิจัยเชิงปฏิบัติการแบบมีส่วนร่วม,Traditional Thai Fabric Technology,Natural Dyes,Traditional Thai Fabric Products,Electronic Commercial,Participatory Action Research"
1031719,"การพัฒนาวัสดุเหลือใช้จากเปลือกส้มโอเปลือกส้มโอ,วัสดุเหลือใช้,waste product,Pomelo Peel"
1036111,"การถ่ายทอดนวัตกรรมและส่งเสริมพัฒนากลุ่มวิสาหกิจชุมชนต้นแบบผลิตโคเนื้อครบวงจรแบบพึ่งพาตนเองเชิงบูรณาการในจังหวัดกลุ่มสนุกกลุ่มวิสาหกิจชุมชนต้นแบบ,ผลิตโคเนื้อครบวงจร,แบบพึ่งพาตนเอง,กลุ่มจังหวัดสนุก,Enterprise community,Complete beef production,Self-Sufficient,Sanook group province"
1036113,"การถ่ายทอดเทคโนโลยีและนวัตกรรมการผลิตโคเนื้อคุณภาพสูงโดยใช้วัตถุดิบอาหารในท้องถิ่น เพื่อเพิ่มประสิทธิภาพการผลิตและพัฒนาศักยภาพการผลิตของเกษตรกรผู้เลี้ยงโคเนื้ออย่างยั่งยืนวัตถุดิบอาหารสัตว์ในท้องถิ่น,นวัตกรรมอาหารสัตว์,โคเนื้อ,Local feed resources,Feeding innovation,Beef cattle"
1036127,"แพะหวะ: ทักษะอาชีพแห่งอนาคตกลุ่มเกษตรกร,การเลี้ยงแพะ,ฟาร์มที่มีระบบการป้องกันโรคและการเลี้ยงสัตว์ที่เหมาะสม,มาตรฐานการปฏิบัติทางการเกษตรที่ดี,ทักษะอาชีพในศตวรรษที่ 21,Famer group,Farm goat,Good Farming Management: GFM,Good Agricultural Practices: GAP,Occupation skills in the 21th Century"
1036144,"การถ่ายทอดองค์ความรู้จากการวิจัยเพื่อยกระดับผลผลิตกระบือไทยอย่างยั่งยืนการถ่ายทอดองค์ความรู้,ยกระดับ,ผลผลิต,กระบือไทย,ยั่งยืน,Transfer knowledge,improve,production,Thai buffalo,sustainable"
1036145,"นวัตกรรมระบบปรับปรุงคุณภาพน้ำของแหล่งน้ำสำหรับการใช้ประโยชน์สาธารณะ: กรณีศึกษาของสระน้ำที่ปนเปื้อนน้ำทิ้งชุมชนระบบปรับปรุงคุณภาพน้ำ,นวัตกรรม,การใช้ประโยชน์สาธารณะ,Water quality improvement system,Innovation,Public use"
1036161,"การถ่ายทอดเทคโนโลยีแบบชุมชนพึ่งพาตนเองโดยใช้เทคโนโลยีเครื่องกังหันน้ำเติมอากาศพลังแสงอาทิตย์เพื่อยกระดับคุณภาพชีวิตชุมชนซึ่งขับเคลื่อนโดย วิศวกรสังคมวิศวกรรมสังคม,Social Engineering"
1036195,"การจัดการความรู้และถ่ายทอดเทคโนโลยีงานวิจัยการหล่อใบจักรนิกเกิลอะลูมิเนียมบรอนซ์ใบจักร,นิกเกิลอะลูมิเนียมบรอนซ์,propeller,nickel aluminium bronze"
1036197,"การจัดการความรู้การเลี้ยงชันโรงเพื่อสร้างอาชีพทางเลือกตามแนวคิดเศรษฐกิจพอเพียงในพื้นที่ตำบลเกาะเพชร อำเภอหัวใทร จังหวัดนครศรีธรรมราชชันโรง,แหล่งเรียนรู้,อาชีพทางเลือก,Stingless Bees,Learning Area,Alternative Career"
